CustomerKey,OriginalCustomerId,Title,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,EducationLevel,Occupation,IsHomeOwner,CarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,CountryName,SalesTerritoryId,Phone,DateFirstPurchase,CommuteDistance
11016,11016,,Wyatt,L,Hill,1984-10-25,M,,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,,Imperial Beach,CA,91932,United States,4,135-555-0171,2013-02-09,5-10 Miles
11017,11017,,Shannon,,Wang,1949-12-24,S,,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,,Sunbury,VIC,3429,Australia,9,1 (11) 500 555-0195,2011-01-12,5-10 Miles
11018,11018,,Clarence,D,Rai,1955-10-06,S,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,,Bendigo,VIC,3550,Australia,9,1 (11) 500 555-0137,2011-01-17,5-10 Miles
11019,11019,,Luke,L,Lal,1983-09-04,S,,M,luke18@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,,Langley,BC,V3A 4R2,Canada,6,262-555-0112,2013-02-12,5-10 Miles
11020,11020,,Jordan,C,King,1984-03-19,S,,M,jordan73@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,,Metchosin,BC,V9,Canada,6,550-555-0163,2012-12-29,1-2 Miles
11021,11021,,Destiny,,Wilson,1984-03-02,S,,F,destiny7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,,Beaverton,OR,97005,United States,1,622-555-0158,2013-01-23,1-2 Miles
11022,11022,,Ethan,G,Zhang,1984-04-10,M,,M,ethan20@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,,Bellingham,WA,98225,United States,1,589-555-0185,2013-01-20,5-10 Miles
11023,11023,,Seth,M,Edwards,1984-04-09,M,,M,seth46@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,,Bellflower,CA,90706,United States,4,452-555-0188,2013-02-17,1-2 Miles
11024,11024,,Russell,,Xie,1984-03-16,M,,M,russell7@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,,Concord,CA,94519,United States,4,746-555-0186,2013-06-27,5-10 Miles
11025,11025,,Alejandro,,Beck,1951-06-22,M,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,,Hawthorne,QLD,4171,Australia,9,1 (11) 500 555-0178,2011-01-06,1-2 Miles
11026,11026,,Harold,,Sai,1951-10-01,S,,M,harold3@adventure-works.com,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,,Goulburn,NSW,2580,Australia,9,1 (11) 500 555-0131,2011-01-23,1-2 Miles
11027,11027,,Jessie,R,Zhao,1952-06-05,M,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0184,2011-01-16,5-10 Miles
11028,11028,,Jill,,Jimenez,1951-10-09,M,,F,jill13@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,,St. Leonards,NSW,2065,Australia,9,1 (11) 500 555-0116,2011-01-26,1-2 Miles
11029,11029,,Jimmy,L,Moreno,1952-06-19,M,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,,Bendigo,VIC,3550,Australia,9,1 (11) 500 555-0146,2011-01-19,1-2 Miles
11030,11030,,Bethany,G,Yuan,1958-02-18,M,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,,Cloverdale,SA,6105,Australia,9,1 (11) 500 555-0182,2011-02-05,1-2 Miles
11031,11031,,Theresa,G,Ramos,1953-02-18,M,,F,theresa13@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,,Matraville,NSW,2036,Australia,9,1 (11) 500 555-0195,2011-02-01,1-2 Miles
11032,11032,,Denise,,Stone,1952-12-08,M,,F,denise10@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,,Melbourne,VIC,3000,Australia,9,1 (11) 500 555-0169,2011-02-18,1-2 Miles
11033,11033,,Jaime,,Nath,1958-09-19,M,,M,jaime41@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,,Milsons Point,NSW,2061,Australia,9,1 (11) 500 555-0137,2011-02-15,5-10 Miles
11034,11034,,Ebony,,Gonzalez,1952-12-16,M,,F,ebony19@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,,North Sydney,NSW,2055,Australia,9,1 (11) 500 555-0136,2011-02-01,5-10 Miles
11035,11035,,Wendy,,Dominguez,1953-08-23,M,,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,,Cranbourne,VIC,3977,Australia,9,1 (11) 500 555-0177,2011-02-06,1-2 Miles
11036,11036,,Jennifer,C,Russell,1984-06-16,M,,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,,National City,CA,91950,United States,4,115-555-0183,2013-01-22,1-2 Miles
11037,11037,,Chloe,M,Garcia,1983-05-27,S,,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,,Cliffside,BC,V8Y 1L1,Canada,6,229-555-0112,2013-01-20,5-10 Miles
11038,11038,,Diana,F,Hernandez,1953-09-20,M,,F,diana2@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,,Lavender Bay,NSW,2060,Australia,9,1 (11) 500 555-0114,2011-02-07,5-10 Miles
11039,11039,,Marc,J,Martin,1954-06-16,M,,M,marc3@adventure-works.com,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,,Wollongong,NSW,2500,Australia,9,1 (11) 500 555-0183,2011-02-07,5-10 Miles
11040,11040,,Jesse,,Murphy,1983-01-29,M,,M,jesse15@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,,Tacoma,WA,98403,United States,1,961-555-0176,2013-04-03,1-2 Miles
11041,11041,,Amanda,M,Carter,1983-04-15,M,,F,amanda53@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,,Glendale,CA,91203,United States,4,295-555-0145,2013-01-14,1-2 Miles
11042,11042,,Megan,J,Sanchez,1982-12-11,M,,F,megan28@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,,Los Angeles,CA,90012,United States,4,404-555-0199,2013-01-21,0-1 Miles
11043,11043,,Nathan,M,Simmons,1981-08-23,M,,M,nathan11@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,,Glendale,CA,91203,United States,4,296-555-0181,2013-05-08,5-10 Miles
11044,11044,,Adam,L,Flores,1954-11-21,M,,M,adam10@adventure-works.com,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,,Hervey Bay,QLD,4655,Australia,9,1 (11) 500 555-0163,2011-02-28,1-2 Miles
11045,11045,,Leonard,G,Nara,1955-11-16,S,,M,leonard18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,,Matraville,NSW,2036,Australia,9,1 (11) 500 555-0151,2013-04-10,1-2 Miles
11046,11046,,Christine,,Yuan,1955-09-19,M,,F,christine4@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,,Lavender Bay,NSW,2060,Australia,9,1 (11) 500 555-0113,2011-02-06,5-10 Miles
11047,11047,,Jaclyn,D,Lu,1955-08-27,M,,F,jaclyn12@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,,Geelong,VIC,3220,Australia,9,1 (11) 500 555-0137,2011-02-03,1-2 Miles
11048,11048,,Jeremy,,Powell,1956-05-21,M,,M,jeremy26@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,,Sunbury,VIC,3429,Australia,9,1 (11) 500 555-0183,2011-02-10,5-10 Miles
11049,11049,,Carol,C,Rai,1986-01-15,S,,F,carol8@adventure-works.com,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,,Chula Vista,CA,91910,United States,4,654-555-0180,2013-03-09,5-10 Miles
11050,11050,,Alan,,Zheng,1957-03-06,M,,M,alan23@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,,Hobart,TAS,7001,Australia,9,1 (11) 500 555-0135,2011-02-20,5-10 Miles
11051,11051,,Daniel,,Johnson,1957-01-31,S,,M,daniel18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,,Caloundra,QLD,4551,Australia,9,1 (11) 500 555-0155,2013-12-29,1-2 Miles
11052,11052,,Heidi,,Lopez,1957-02-03,S,,F,heidi19@adventure-works.com,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,,Matraville,NSW,2036,Australia,9,1 (11) 500 555-0168,2011-02-17,5-10 Miles
11053,11053,,Ana,E,Price,1986-02-17,M,,F,ana0@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,,San Diego,CA,92102,United States,4,859-555-0113,2013-01-17,1-2 Miles
11054,11054,,Deanna,,Munoz,1957-09-07,M,,F,deanna33@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,,Geelong,VIC,3220,Australia,9,1 (11) 500 555-0192,2011-02-03,5-10 Miles
11055,11055,,Gilbert,,Raje,1957-09-02,M,,M,gilbert35@adventure-works.com,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,,East Brisbane,QLD,4169,Australia,9,1 (11) 500 555-0129,2011-01-31,5-10 Miles
11056,11056,,Michele,L,Nath,1958-10-01,M,,F,michele19@adventure-works.com,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,,Newcastle,NSW,2300,Australia,9,1 (11) 500 555-0178,2011-02-26,5-10 Miles
11057,11057,,Carl,J,Andersen,1970-04-07,M,,M,carl12@adventure-works.com,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,,Lane Cove,NSW,1597,Australia,9,1 (11) 500 555-0181,2011-02-22,1-2 Miles
11058,11058,,Marc,,Diaz,1965-04-23,M,,M,marc6@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,,Findon,SA,5023,Australia,9,1 (11) 500 555-0149,2011-03-09,1-2 Miles
11059,11059,,Ashlee,J,Andersen,1959-09-29,S,,F,ashlee19@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,,Townsville,QLD,4810,Australia,9,1 (11) 500 555-0112,2013-02-18,5-10 Miles
11060,11060,,Jon,L,Zhou,1959-09-14,M,,M,jon28@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0174,2011-03-19,5-10 Miles
11061,11061,,Todd,M,Gao,1976-02-20,M,,M,todd14@adventure-works.com,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,,Gold Coast,QLD,4217,Australia,9,1 (11) 500 555-0191,2011-03-13,5-10 Miles
11062,11062,,Noah,D,Powell,1981-03-01,M,,M,noah5@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,,Portland,OR,97205,United States,1,767-555-0113,2013-01-07,5-10 Miles
11063,11063,,Angela,,Murphy,1980-10-04,S,,F,angela41@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,Redmond,WA,98052,United States,1,451-555-0162,2013-01-12,5-10 Miles
11064,11064,,Chase,,Reed,1981-06-05,M,,M,chase21@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,,Downey,CA,90241,United States,4,892-555-0184,2013-01-25,5-10 Miles
11065,11065,,Jessica,,Henderson,1979-04-08,M,,F,jessica29@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,,La Jolla,CA,92806,United States,4,278-555-0186,2013-02-10,1-2 Miles
11066,11066,,Grace,T,Butler,1979-05-27,M,,F,grace62@adventure-works.com,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,,Lebanon,OR,97355,United States,1,712-555-0141,2013-05-31,5-10 Miles
11067,11067,,Caleb,F,Carter,1982-03-25,S,,M,caleb40@adventure-works.com,60000,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,,Port Orchard,WA,98366,United States,1,944-555-0167,2013-08-18,5-10 Miles
11068,11068,,Tiffany,,Liang,1966-09-19,S,,F,tiffany17@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0177,2013-04-30,5-10 Miles
11069,11069,,Carolyn,,Navarro,1966-09-17,S,,F,carolyn30@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,,Gold Coast,QLD,4217,Australia,9,1 (11) 500 555-0145,2011-04-17,1-2 Miles
11070,11070,,Willie,T,Raji,1960-10-02,M,,M,willie40@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,,Sunbury,VIC,3429,Australia,9,1 (11) 500 555-0151,2011-04-28,5-10 Miles
11071,11071,,Linda,,Serrano,1960-12-23,S,,F,linda31@adventure-works.com,80000,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,,Hawthorne,QLD,4171,Australia,9,1 (11) 500 555-0130,2013-03-01,5-10 Miles
11072,11072,,Casey,,Luo,1960-08-05,S,,F,casey6@adventure-works.com,80000,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,,St. Leonards,NSW,2065,Australia,9,1 (11) 500 555-0125,2011-03-31,1-2 Miles
11073,11073,,Amy,,Ye,1962-02-11,S,,F,amy16@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,,Springwood,NSW,2777,Australia,9,1 (11) 500 555-0185,2013-03-23,5-10 Miles
11074,11074,,Levi,A,Arun,1962-02-25,S,,M,levi6@adventure-works.com,70000,2,0,High School,Skilled Manual,1,2,4661 Bluetail,,Cloverdale,SA,6105,Australia,9,1 (11) 500 555-0127,2013-03-23,5-10 Miles
11075,11075,,Felicia,L,Jimenez,1963-05-16,S,,F,felicia4@adventure-works.com,80000,2,0,High School,Professional,1,2,786 Eastgate Ave,,Bendigo,VIC,3550,Australia,9,1 (11) 500 555-0165,2011-04-28,5-10 Miles
11076,11076,,Blake,,Anderson,1963-01-10,S,,M,blake9@adventure-works.com,80000,2,0,High School,Professional,1,2,5436 Clear,# 101,Wollongong,NSW,2500,Australia,9,1 (11) 500 555-0113,2011-04-21,5-10 Miles
11077,11077,,Leah,,Ye,1963-03-19,S,,F,leah7@adventure-works.com,80000,2,0,High School,Professional,0,2,1291 Arguello Blvd.,,Melton,VIC,3337,Australia,9,1 (11) 500 555-0154,2011-04-15,1-2 Miles
11078,11078,,Gina,E,Martin,1985-01-06,S,,F,gina1@adventure-works.com,40000,0,0,High School,Professional,0,2,1349 Sol St.,,Cliffside,BC,V8Y 1L1,Canada,6,196-555-0114,2013-02-15,1-2 Miles
11079,11079,,Donald,,Gonzalez,1970-03-07,S,,M,donald20@adventure-works.com,160000,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,,Geelong,VIC,3220,Australia,9,1 (11) 500 555-0137,2013-03-15,0-1 Miles
11080,11080,,Damien,,Chander,1965-01-13,M,,M,damien32@adventure-works.com,170000,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,,Perth,SA,6006,Australia,9,1 (11) 500 555-0111,2011-04-10,0-1 Miles
11081,11081,,Savannah,C,Baker,1972-01-21,M,,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,,Concord,CA,94519,United States,4,478-555-0117,2013-02-12,2-5 Miles
11082,11082,,Angela,L,Butler,1972-02-01,S,,F,angela17@adventure-works.com,130000,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,,Fremont,CA,94536,United States,4,579-555-0195,2013-01-22,1-2 Miles
11083,11083,,Alyssa,F,Cox,1977-03-11,M,,F,alyssa37@adventure-works.com,130000,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,,Lincoln Acres,CA,91950,United States,4,561-555-0140,2013-01-06,1-2 Miles
11084,11084,,Lucas,,Phillips,1963-03-12,S,,M,lucas7@adventure-works.com,80000,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,,Lebanon,OR,97355,United States,1,863-555-0172,2013-01-04,1-2 Miles
11085,11085,,Emily,,Johnson,1963-01-16,S,,F,emily1@adventure-works.com,60000,2,0,High School,Professional,0,2,7926 Stephanie Way,,Newport Beach,CA,92625,United States,4,850-555-0184,2013-12-06,5-10 Miles
11086,11086,,Ryan,,Brown,1963-06-22,M,,M,ryan43@adventure-works.com,70000,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,,Santa Monica,CA,90401,United States,4,539-555-0198,2013-07-02,0-1 Miles
11087,11087,,Tamara,L,Liang,1963-04-02,M,,F,tamara6@adventure-works.com,70000,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,,Chula Vista,CA,91910,United States,4,178-555-0152,2013-02-25,0-1 Miles
11088,11088,,Hunter,,Davis,1963-05-25,M,,M,hunter64@adventure-works.com,80000,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,,San Diego,CA,92102,United States,4,612-555-0141,2013-01-13,2-5 Miles
11089,11089,,Abigail,M,Price,1962-08-05,S,,F,abigail25@adventure-works.com,80000,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,,Long Beach,CA,90802,United States,4,532-555-0117,2012-12-29,2-5 Miles
11090,11090,,Trevor,,Bryant,1968-12-13,S,,M,trevor18@adventure-works.com,90000,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,,Los Angeles,CA,90012,United States,4,853-555-0174,2011-08-07,2-5 Miles
11091,11091,,Dalton,,Perez,1962-10-02,M,,M,dalton37@adventure-works.com,90000,2,0,Partial College,Professional,1,1,6083 San Jose,,Haney,BC,V2W 1W2,Canada,6,559-555-0115,2013-01-29,5-10 Miles
11092,11092,,Cheryl,A,Diaz,1972-11-02,M,,F,cheryl4@adventure-works.com,90000,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,,East Brisbane,QLD,4169,Australia,9,1 (11) 500 555-0192,2011-04-08,1-2 Miles
11093,11093,,Aimee,A,He,1978-09-06,M,,F,aimee13@adventure-works.com,100000,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,,Wollongong,NSW,2500,Australia,9,1 (11) 500 555-0161,2011-04-07,0-1 Miles
11094,11094,,Cedric,W,Ma,1967-09-29,S,,M,cedric15@adventure-works.com,70000,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,,Cranbourne,VIC,3977,Australia,9,1 (11) 500 555-0115,2013-04-07,0-1 Miles
11095,11095,,Chad,,Kumar,1968-02-29,S,,M,chad9@adventure-works.com,70000,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,,Port Macquarie,NSW,2444,Australia,9,1 (11) 500 555-0151,2011-04-01,5-10 Miles
11096,11096,,Andrés,,Anand,1968-02-07,M,,M,andrés18@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,,North Sydney,NSW,2055,Australia,9,1 (11) 500 555-0184,2011-04-11,5-10 Miles
11097,11097,,Edwin,R,Nara,1972-10-23,M,,M,edwin39@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,719 William Way,,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0112,2011-04-04,5-10 Miles
11098,11098,,Mallory,S,Rubio,1966-10-29,S,,F,mallory7@adventure-works.com,60000,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,,Rhodes,NSW,2138,Australia,9,1 (11) 500 555-0157,2013-02-11,0-1 Miles
11099,11099,,Adam,,Ross,1966-09-05,M,,M,adam2@adventure-works.com,60000,1,0,Bachelors,Professional,1,1,4378 Westminster Place,,Port Macquarie,NSW,2444,Australia,9,1 (11) 500 555-0186,2011-04-07,0-1 Miles
11100,11100,,Latasha,L,Navarro,1966-03-15,S,,F,latasha10@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,,Cloverdale,SA,6105,Australia,9,1 (11) 500 555-0123,2011-04-16,5-10 Miles
11101,11101,,Abby,L,Sai,1970-11-05,S,,F,abby4@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,,Cranbourne,VIC,3977,Australia,9,1 (11) 500 555-0174,2011-04-29,0-1 Miles
11102,11102,,Julia,L,Nelson,1970-10-19,S,,F,julia7@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,,Sydney,NSW,1002,Australia,9,1 (11) 500 555-0124,2013-07-16,1-2 Miles
11103,11103,,Cassie,,Chande,1981-04-12,S,,F,cassie13@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,,Darlinghurst,NSW,2010,Australia,9,1 (11) 500 555-0166,2011-04-15,5-10 Miles
11104,11104,,Edgar,A,Sara,1975-03-08,M,,M,edgar11@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,,Gold Coast,QLD,4217,Australia,9,1 (11) 500 555-0125,2011-05-04,0-1 Miles
11105,11105,,Candace,,Fernandez,1970-06-27,S,,F,candace15@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,,Matraville,NSW,2036,Australia,9,1 (11) 500 555-0162,2011-05-14,5-10 Miles
11106,11106,,Jessie,,Liu,1970-03-11,S,,M,jessie9@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,,Warrnambool,VIC,3280,Australia,9,1 (11) 500 555-0163,2011-05-18,5-10 Miles
11107,11107,,Bianca,,Lin,1976-03-04,M,,F,bianca7@adventure-works.com,90000,1,0,Bachelors,Professional,1,1,7530 Eola,,St. Leonards,NSW,2065,Australia,9,1 (11) 500 555-0121,2011-05-01,5-10 Miles
11108,11108,,Kari,C,Alvarez,1969-01-10,S,,F,kari25@adventure-works.com,70000,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,,Port Macquarie,NSW,2444,Australia,9,1 (11) 500 555-0169,2011-05-03,0-1 Miles
11109,11109,,Ruben,D,Kapoor,1980-04-30,S,,M,ruben1@adventure-works.com,70000,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,,South Melbourne,VIC,3205,Australia,9,1 (11) 500 555-0132,2011-05-10,0-1 Miles
11110,11110,,Curtis,,Yang,1967-12-04,M,,M,curtis5@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,4052 Mt. Wilson Way,,Darlinghurst,NSW,2010,Australia,9,1 (11) 500 555-0127,2011-05-01,5-10 Miles
11111,11111,,Meredith,T,Gutierrez,1967-08-23,M,,F,meredith34@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,7610 Northridge Ct.,,Geelong,VIC,3220,Australia,9,1 (11) 500 555-0179,2011-05-20,0-1 Miles
